ORDEN,SKU,MARKETING,ACTUALIZACIONES,ACTUALIZADO,VENTAS_ACUMULADAS,PRICE,LANZAMIENTO,CANTIDAD,PRECIO_MIN,SD_PRECIO,VENTA_ALTA
17593,2159406,D,2,1,921167,44.95,2008,37,29.29,11.94,0
58505,2036865,S,5,1,941405,72.0,2006,14,61.98,88.37,1
17511,178983,D,1,0,466916,97.75,2010,35,4.72,16.95,1
65865,132535,S,3,1,131007,50.2,2009,37,51.14,38.33,0
58333,109474,S,1,0,528382,58.57,2004,47,62.83,34.09,0
7448,568587,D,2,1,30846,149.99,1989,74,83.6,55.83,0
32412,915428,D,1,0,1550433,48.32,2003,20,42.44,31.94,1
4156,50534,D,8,1,31196,181.0,2011,122,162.76,34.82,0
44207,739352,S,8,1,1716559,77.2,2000,32,48.12,26.49,0
5089,611793,D,0,0,952591,231.49,2013,32,71.79,73.99,1
61034,609008,S,5,1,827962,29.99,2010,63,11.96,6.82,0
38817,177372,S,2,1,2282608,147.95,2001,32,4.52,24.59,0
8523,631630,D,3,1,216781,72.95,2009,35,40.99,17.73,1
1880,704843,D,4,1,4602542,49.68,1998,39,43.98,4.99,0
10353,550846,D,8,1,412121,226.75,2009,98,116.97,42.89,0
21214,132562,D,10,1,427930,135.4,2008,44,111.42,39.38,0
77373,912629,S,5,1,51123,54.95,2013,22,39.43,45.73,0
73783,560948,S,10,1,3645506,36.67,2006,31,5.19,19.94,0
43932,659011,S,1,0,675493,48.95,1998,20,116.87,42.87,0
78821,543899,S,6,1,49712,99.0,2013,48,58.98,54.78,0
80850,131828,S,1,0,516475,43.99,2005,53,35.51,32.99,0
48456,55622,S,3,1,489353,31.5,2008,37,32.15,45.86,0
20716,170227,D,8,1,272997,206.95,2011,53,86.38,36.99,0
35132,538467,D,10,1,10055,288.0,2012,78,111.63,57.34,1
66986,619780,S,2,1,335447,112.67,2010,47,102.84,22.0,0
20827,60494,D,2,1,1238124,158.0,2006,38,109.99,13.95,0
48377,561717,S,8,1,974137,71.95,2010,67,0.0,4.9,0
13263,654009,D,2,1,917280,69.95,1995,23,72.98,211.73,1
10163,159536,D,1,0,3518249,136.0,2003,11,217.15,120.0,0
55139,607609,S,6,1,3398841,45.0,2004,20,28.95,19.98,0
80212,346458,S,9,1,1191894,84.95,2010,42,4.0,53.04,0
62617,191863,S,4,1,1440864,40.94,2000,80,0.0,40.94,0
